title,review,rating,value,service,location,rooms,cleanliness,sleep_quality,label
Brilliant peaceful getaway,We absolutely loved this trip. The location is in a beautiful setting with brilliant walks available just a few steps from the site. The lodge was roomy enough for us as a family of 4 and the staff were friendly. There was a lovely environment and we will go again in the future.,5,,,,,,,OR
Red Dragon - the place to stay in Snowdonia,"Excellent accommodation for the price, excellent service, the view from the terrace was just stunning. Friendly staff, it was a pleasure to stay in such accommodation, I would for sure book again. Well done!",5,,,,,,,OR
"Great location, lovely place to stay","Perfect facilities for what we needed. 
Great location at the start of the Watkin Path and nearby the bus stop to Pen Y Pass. 
Beautiful scenery. Comfortable and clean accommodation with use of a clean bathroom shared with one other pod.",5,5.0,5.0,5.0,,,,OR
Top Trip in Wales,"Fab location, great facilities and really good value for money.
 Pain free and easy to checkin and out. will use again. 
Clean showers toilets etc. Well situated . 
Close to village for pub and shops. Great effort has been made for a great experience .",5,,,,,,,OR
Absolutely beautiful.,"
My partner and I visited for a long weekend in July, the pods were cosy, warm and very cost efficient!
Being so central to everything we needed, they are in a perfect location. Such beautiful views also!! We will definitely be returning.",5,5.0,5.0,5.0,,,,OR
Perfect stay,"This is my 4th time staying at Bryn Dinas and won’t be my last . 
The perfect location for snowdon mountain and other villages. 
The pods never disappoint clean , comfortable with showers a bq area and a little kitchenette (microwave, fridge and washing up area also washing machine and dryer on site . 
The watkins path is 5 min walk away . Buses stop near head If you take other paths for the mountain . See you again soon . My favourite place",5,,,,,,,OR
Fantastic Accommodation,"This was brilliant accommodation. 
We rented the log cabin for three of us and our dogs, and it was absolutely everything we needed. 
What a luxury to come back after a 10 hour walk up Snowdon and have a lovely shower and a comfortable bed to sleep in.
We will be back next year.",5,5.0,5.0,5.0,,,,OR
40th birthday with 20 friends! Amazing!,"I arranged a weekend break to celebrate my partners 40th birthday with our friends. There were 20 of us so we rented out Arran and Maple cottage as well as 3 pods! The cottages were great, had everything you could want, comfy beds and plenty of space to sit and socialise.
The pods came with their individual bathroom located in the shower block - toilet, shower and sink.
We were the for 3 days and wanted to stay longer!
Antony was a great communicator ensuring we were all set and ready and we were greeted by Angela who stayed on until we got there to ensure we had everything we needed. The gave us another bbq as well which was really kind!
This is a great place for climbing Snowdon! Would highly recommend and we will be back!
Something small to improve on, it would have been nice to have salt, pepper and some olive oil to cook with.
Amazing stay! Thanks so much!! Xx",5,5.0,5.0,5.0,,,,OR
Bryn Dina’s Camping Pods- Amazing!,"I loved staying at Bryn Dinas Camping Pods.
The pod itself was even better then expected, bathroom incredibly clean & they provide cleaning products / towels to dry the items used down after so it stays clean for other guests.
We were fortunate enough to have our own bathroom as our neighbouring pod was empty. But with the items supplied, it wouldn’t have bothered me to share! Lovely hot shower.
So peaceful, easy to park outside (it was quiet when we stayed but there is parking around the area too). Benches to sit & eat outside.
A little table and two chairs outside of our cabin for a more private dinner if you wanted.
Heater was very warm, so great for winter! Big windows for air circulation also in our cabin.
We will be rebooking shortly to come back in the Summer & hike Snowdon.
It’s also located right near a path entrance & we took this all the way to the local village. Beautiful walk & stunning scenery.
If you’re a fan of outdoor swimming, take your swim wear as the lake a stone throw away is to good to miss!
Couldn’t of asked for a nicer stay. Hosts were very informative when we booked, lots of ideas and facts about area.
Contacted us 24 hours before & on the day regarding the self check in procedure.
If you’re looking for a quiet & private get away, I couldn’t recommend it more.
See you again Bryn Dinas!",5,5.0,5.0,5.0,,,,OR
Great Location for a Snowdon Hike.,"I would strongly recommend Bryn Dinas to anyone visiting the Snowdon area. My friends and I stayed 2 nights and found Anthony to be friendly and very accommodating. 
We were very happy with the pod/facilities which were affordable, clean, warm and perfect for our needs with a great view from the site. 
You could hear the nearby river and feel immersed in nature as the site is quiet with little passing traffic. 
Although the traffic is minimal it is quite a fast road and would not let kids or dogs roam too freely. 
Prime location for access to the Watkin Path and Pools. Lovely cafe walking distance from pods and Watkins walk start point. 
Beddgelert not too far and you can walk on the lakeside into the town however we drove as had a hard walk already!",5,5.0,5.0,5.0,,,,OR
Stunning location with comfortable and affordable accomodation,"The dragons den had everything we could need, it was clean ans warm ans staff were very helpful. 
Spectacular location at the foothills of Snowdon witching walking distance to the Watkin path which we took up to the top of Snowdon. 
We explored the Nant Gwynant lake and river by kayak, cycled and walked the surrounding area and fell in love with it. 
Will definitely visit again.",5,5.0,5.0,5.0,,,,OR
Perfect Stay! Especially for Hikers,"I would strongly recommend Bryn Dinas to anyone visiting the Snowdon area. 
My partner and I stayed 2 nights and found the staff to be friendly and very accommodating. 
We were very happy with the pod/facilities which were affordable, clean, warm and perfect for our needs with a great view from the site. You could hear the nearby river and feel immersed in nature as the site is quiet with little passing traffic.
 Prime location for access to the Watkin Path up snowdon (2mins walk from the start point) and 5min drive from the nearest pub/restaurant. 
However, nearest big Tesco & petrol station close to 20mins away if you need snacks/fuel.
 Overall, we would rate 5/5 and would definitely stay again!",5,5.0,4.0,5.0,,,,OR
Found some space,"Amazing location for the watkin path , cabin had everything we needed. 
Take some food as supermarket is about 25mins away.
 If walking watkin path don’t forget a dip in the rock pools you will not regret it",5,5.0,5.0,5.0,,,,OR
Central Snowdonia location with all the comforts a family needs,"This was our 2nd trip to Red Dragon after staying in Snowdon cottage last year. This time we were a slightly larger group so stayed in Aran cottage.
The cottage has just had a new double cooker installed which was great for our early morning breakfasts. It wasn’t easy getting the teenagers up as they were addicted to their lush feather down quilts and pillows. On an evening the log fire was great and the vast choice of boardgames meant that the TV wasn’t even turned on once.
We had a small dog with us this time, which meant some of our big adventures were restricted. However, we were still able to take him down the Sygun Copper mine just round the corner. The walk around Llyn Dinas was fab since it is in the middle of lambing season and there were new born lambs everywhere. We also had a trip out to Harlech beach which was lovely with big sand dunes and a wide open beach area with golden sands.
There is so much to do and explore here that we didn’t have time for everything. It’s safe to say we’ll be back, especially as location is central to everything in Snowdonia and North Wales. The price cannot be beaten for this type of cottage in Snowdonia, especially in high season.",5,,,,,,,OR
Sister get away,"Me and my sister had a 5 night get away. 
We stayed in the maple lodge cabin and absolutely loved it.
 Anthony Was really welcoming and gave us lots of things we could do and walks around the area. 
The cabin was clean and had everything we needed and the location of the campsite is perfect whether it’s to go into the towns or zip world it’s really central to all main attractions and the lakes were beautiful. 
We have already booked to go back in summer and can’t wait.",5,,,,,,,OR
Christmas break,"I had a lovely break here over christmas,i stayed for 4 nights from 23rd dec till 27th in one of the lovely pods,its the second year on the run that ive stayed to get away from it all and wont be the last,i stayed in one of the pods which are nice cosy and warm and the showers are lovely and clean and warm with hot water for a nice shower after hiking in the cold,love this place",5,,,,,,,OR
Friendly Warm & Welcoming,"We stayed in the Beaumaris Castle Pod. The site has 24 hour access, ideal for long distance travellers.

There are several types of accommodation to suit all types of travellers. 
The accommodation is very clean and suitable for all-year visits; the proprietors kindly left the heater and bedside lamp on for our arrival, which was gave us a perfectly cosy welcome in November.
The booking was online and confirmation email very detailed and precise, containing all of the information needed.
There are tea and coffee making facilities in the pod and several plug sockets. There is also a small kitchen area on site and a drying room with washing machines and tumble dryers; ideal for the seasoned winter walkers. The shower rooms are very clean, tidy and well-considered.
The website contains a wealth of information and links to activities, walks and things to do. 
The site is less than half a mile from the Watkin path up Snowden and located next to woodland with stunning views across valleys.
Tony and Angela were wonderfully friendly, helpful and accommodating. They greeted us on arrival and happily took the time to show us around. We had a wonderful experience and will be back!",5,5.0,5.0,5.0,,,,OR
Cosy log cabin! Brilliant for families,"A fabulous, cosy weekend spent at the Maple Lodge log cabin at Red Dragon holidays. 
Perfect base for a family of 4 - cosy double bed and a mezzanine floor that sleeps two that we could not get the kids out of! We had a lovely warm stay, with homely comforts at hand. Brilliant location, what more can we say! Truly stunning place to stay. We will be going back again soon.",5,5.0,5.0,5.0,,,,OR
A dream location,"Marvellous location and a site that appears to cater for almost everyone. I stayed in Snowden cottage which had all the home comforts and mod cons. The cottages are beautifully furnished and cosy (I asked if I could look around as I’m planning a big birthday event soon). The lodges looked great and the pods looked fab too. Must try these next time.
This is a wonderful place to stay, particularly if you love nature and the great outdoors. I’m already planning my next trip and aim to bring family and friends next time. I’m already planning for my big birthday too as this place will be perfect for all ages.
The staff on site were wonderful. A big thanks for making my trip a memorable one. See you again soon",5,5.0,5.0,5.0,,,,OR
Just what we needed,"Had a lovely time in Maple Lodge. 
Everything we needed was there . 
We loved the bedroom in the roof which was definitely a novalty. 
Complete silence through the night which is just what we needed.
 The cafe 5 minutes down the road was absolutely amazing and the food was delicious. Will definitely be back.",5,,,,,,,OR
Lovely little cabin,"Lovely little cabin for a quick family trip to climb Snowdon - very cosy and well equipped.
Perfect location for climbing Snowdon, just 10 mins down the road from the Pen-y-Pass carpark and great cafe in the asking distance for breakfast.
 I would definitely stay again.",5,,,,,,,OR
My favourite place,"My second stay in the pods and I can not fault them . 
Showers clean , warm same with the pods . 
Location ideal (bottom of watkins path ) walks across the road . Just so much to do and see . 
Can’t wait to return . Oh staff are super helpful . 
No phone connection here but the pods offer Wi-Fi £2.50 day",5,,,,,,,OR
Saved my weekend,"Travelled to climb Snowdon and of all things forgot to pack my tent, I tried several places for accommodation with no luck.
 Phoned the Red Dragon and explained my circumstances, the owner was brilliant and prepared a Pod in quick time after the previous owners vacated, I arrived around 1900hrs not really knowing what I was getting.
The Pod was immaculate and comfortable, the bathroom block (which is no more than 10 metres from any Pod) was also immaculate and the showers are awesome, laundry room, kitchen area etc all clean and tidy. Couldn’t believe my luck as it’s literally a 5 min walk to start the Watkins route to Snowdon passing the beautiful waterfalls. Both lakes are a stones throw for Kayaking too.
Had the best two nights sleep and if you ever fancy a night/week in a Pod I’d strongly recommend the Red Dragon. Beautiful area to explore. Thank you, Colin",5,,,,,,,OR
Lush time away,"Just home after a wonderful weekend away in the camping pods.
 Had such a fantastic time that we didn’t want to come home. 
It’s a perfect base with so many adventures to be had that we cannot wait to return soon. 
The pods are super cosy and comfortable and have everything you could possibly need, so relaxing , Thankyou 🤩",5,,,,,,,OR
Red dragon in the heart of snowdonia,"Stayed here for 4 nights in a 2 bed cottage which is in the heart of snowdonia, location was great it was central to lots of walks, lakes, places if interest. My husband and 2 boys had a wonderful time being able to get to many places withing 30min drive or just simply walk there's a beautiful waterfall you can walk straight from the house to which also leads to the start of the summit. 
Incredible views on the way here and lovely walking routes all around, the village of beddgelert was a about 5min drive were theres resturants, pubs, icecream shop and small convenience store, plus stunning views and rivers plus the people were all so very friendly, would deffo go back.",5,,,,,,,OR
Very comfortable and a great location,"My group stayed for 3 nights in the camping pods, which were very clean and comfortable. The location of the pods were perfect for us with the local shop only a 5 minutes drive away and a number of pubs and cafe’s only a short drive away. The site was only a 5 minute walk from the start of the Watkin path which is the route we used to climb snowdon, this was great as we were able to park and leave our cars by the pods avoiding paying for parking elsewhere. The scenery surrounding the pods is beautiful with 2 huge lakes within walking distance; given the weather was quite hot these provided an amazing opportunity for a swim to cool down. The facilities were good and gave us everything we needed for our stay, although the kitchenette fridge was a little small so was full most of the time. The bathrooms were good and kept relatively clean. There is a seating area with a BBQ and fire pit which was great of an evening for my group to sit outside, although I would recommend taking your own BBQ/ stove in case they are in use. Would definitely stay here again!",5,,,,,,,OR
Camping pods,"Beautiful setting ,quiet,clean, every thing you need
We loved our stay
Owner very helpful dog friendly we was very lucky with the weather, cooking facilities showers very clean
We will definitely be back",5,,,,,,,OR
Very nice!,"
I stayed here with a group of couples recently and I'd reccomend this site. Each pod has a designated bathroom (shower, loo, sink, heated towels rack, loo roll, shampoo and conditioner!) Which are very well kept and pleasant. You share these with one other cabin. The pods themselves are very nice, warm and have electric sockets (there is a kettle and teas too as well as a heater and matress and pillow provided). I stayed in pod number one at the back and I really liked it. The whole place had a friendly atmosphere, nice helpful staff and I know my friends enjoyed it too. The only downside really is the road can be noisy when busy, but very peaceful otherwise and very close to attractions such as the watkin path and snowdonia. I'd visit again 😁",5,,,,,,,OR
week of walking,"amazing location, walks straight from the door, clean and tidy, really cosy in the dragons den, staff very helpful but in truth we had minimal contact, great value for money, would totally recommend, very friendly fellow visitors",5,,4.0,5.0,,4.0,,OR
Perfect Snowdonia base,"Three night pod hire in July. Easy booking and nice staff on site. 
Pod included comfy mattress and pillow as well as sockets and tea/coffee making. 
Lovely shared, with max 1 other pod, shower/toilet/washing facilities. Communal BBQ and bench seating was nice to cook and chat in the evenings.
 Shared wash up, fridge, microwave and toaster are handy too. Perfectly located for Snowdon at the start of the Watkin Path and close to some lovely waterfalls/pools to cool down in. Two nearby lakes for watersports with hire available. No phone signal, as there is a mountain in the way, so worth paying for the excellent Wifi.",5,5.0,5.0,,5.0,,,OR
Pod perfect,"We've been to this area many times over the years mostly camping so this was our first time plodding.
We will definitely be back
Great location
Don't worry about the proximity to the road it's very quiet after 8pm",5,,,,,,,OR
"Clean, Comfortable & Friendly","Loved my mini break staying here, it was everything we needed for our short stay. 
The lodges we clean & comfortable and ideally located for our planned hike up Snowdon. 
The site is situated just a few hundred yards from both the start of the Watkin path & the bus stop for the Sherpa bus service which takes you to the start of both the Pyg & Miners track.
Shower / toilet blocks were clean with excellent showers, very warm & plenty powerful.",5,,5.0,,5.0,,5.0,OR
Excellent place to stay!,"After extensive research into where to stay when cooking Snowdon, we stumbled upon these pods and we were pleasantly surprised by them upon arrival.
The pods themselves are warm, clean and comfortable and all the external facilities are great and of a much higher standard than expected.
Super little place to stay and will definitely be going back in the future.
",5,,5.0,,5.0,,5.0,OR
A Gem. You won’t want to leave,"Loved this little place.I had 2 pods. Clean & warm with a shared bathroom for the 2 pods also clean warm 5* shower . Location was perfect for the Watkins path 4 min walk. Pen y pass 10 min drive . Wash & dryer on site shared microwave toaster & fridge if needed in a little shed . No phone service here but Wi-Fi available. Location perfect , villages in short driving distance each way . The only thing I can say is take repellent as midges bite out side the pods you can’t sit in peace. Can’t wait to return . I’m sad I had to leave . 5+ star",5,,,,,,,OR
Red dragon Lodge adventure weekend,"I used the red dragon Lodge for a weekend of adventure and what an amazing location and close to zip world and literally steps away from snowdon Watkins path...... We loved the lodge and 100% definitely will rebook next year, value was outstanding and the sites also offered pod with great facilities........ Superb",5,,,,,,,OR
Fantastic location and cabin,"We booked the Dragons Den lodge so we could be near the Watkin Path, Snowdon. 
Absolutely perfect location, lodge very well equipped with everything we needed for a two night stay, even milk in the fridge! Very comfy beds.",5,5.0,5.0,,,,5.0,OR
"Cozy camping pod, perfect for two!","Me and my husband made a very last minute decision to climb Snowdonia on our short holiday so we booked the camping pod for 2 nights without much research on the routes to Snowdonia. Lucky for us, this site is only 5 minutes walk from the entrance of the Watkins path which is one of the paths with most beautiful views and waterfalls...mind you, it is also one of the hardest. There is also a viewpoint 10 mins drive from the site and also a lake nearby. There is also a popular cafe within 5 mins walk near the Watkins path entrance.
The pod is perfect for two and very cozy with a heater which was very useful as it was cold in the morning and at night outside.
We were allocated a bathroom and it was clean with toilet papers and hand wash provided. The kitchenette also had dishwashing liquid with sponge and kitchen towel.
Make sure you get the WiFi if you need it because we didn't have any network in the area.",5,,,,,,,OR
Amazing holiday,"The camping pod experience at Red Dragon Bryn Dinas was just outstanding. From arrival everything was ready to go and the process was very simple. The views from the Camping pods were stunning. All you can see is winding country lanes, fields and mountain views in every direction. Within about a ten minute drive you can find a small village with nice shops, cafes and pubs. As well as this there are plenty of activities very close by. This includes multiple walking trails up Snowdon, even in the winter months this is great to do, mountain biking, walking. As well as this close by there are a lot of adventurous activities to do, the worlds longest zip line, white water rafting to name a couple. As well as all of this the camping pods themselves were extremely clean, warm and nice, the shower and bathroom facilities were also well maintained and clean. The only bad part about the
Trip was the drive home, although we spent this planning our next trip to the camping pods.",5,,,,,,,OR
Brilliant base camp for the hills,"Just back from a very wet and windy (and a bit snowy) trip to Snowdonia, staying at Bryn Dinas camping pods.
My pod was warm, dry and spotlessly clean. Couldn’t have asked for more really. Personal bathroom provided due to covid precautions which was also kept spotlessly clean. Shower was roasting hot which is just what I needed after a couple of big days on the hill.
This place is a perfect location for exploring all that the park has to offer. Within a 5 minute walk of the Bethania car park and the start of the Watkin path up Snowdon.
I will definitely return!",5,,,,,,,OR
Good Find!,"Brilliant Stay! We stayed in Conwy Castle Pod.
Slept well every night, clean facilities. Little radiator to hear the pod so it’s not cold!
Easy to find considering there’s zero signal around there. Option of WIFI Extra there if required.
Right at the South Bottom of Snowdon near Watkins Path a couple minutes walk up the road (Very Difficult Path-Would not use if it’s your first time!)
Would definitely use again",5,,,,,,,OR
Excellent Snowdon Base,"A little nervous in booking a log cabin, especially when the forecast for our stay was horrendous but we really shouldn’t have been. 
Dragon’s Den was very cozy and extremely warm, was incredibly well equipped with everything we could possibly need and perfect for relaxing after long wet days in the mountains. 
On demand hot water, great heating, really comfy beds, plenty of bedding and enough hooks to hang at least 3 sets of wet clothes to dry including coats. Will 100% return and would recommend to anyone.",5,,,,,,,OR
Love staying here. Totally recommend.,"Have stayed here twice before. The weather wasn’t good but love staying at our ‘bed in a shed’!! The pod was warm, the beds comfy. 
The staff are so friendly, got lots of resilience communication, if I had a query it was answered quickly and efficiently. 
Used the microwave for dinner at night, used washing up area. 
Wished lights stayed on longer outside that hut but it’s ok. Shower block is clean, the shower was fab and hot and powerful. 
The place is very Covid safe, you have a bathroom allocated to your pod and one other. Annoyingly some people staying in the bigger pods didn’t stick to this and used our bathroom frequently, meaning we had to use other bathrooms. 
Not good but understand this is impossible to police. Just a shame other people not respectful of the situation.
Slept really well here and had a great stay despite the dreadful weather. We will be back!!!
100% recommend.",5,,,,,,,OR
Brilliant place!,"We stayed for 2 nights and was very impressed with the facilities within the pods. 
They are warm with full size single beds. Very Covid safe and in a fantastic location. The views are amazing! The owner was very accommodating",5,,,,,,,OR
Bryn Dinas Pods before climbing Snowdon,"I stayed in one of the pods, which was very clean & comfortable. The whole set up was excellent from the benches out front for alfresco dining (drinking) and the shower block was of a very high standard.
I would happily stay again in the future.",5,,,,,,,OR
Excellent in every way,"Me and my father stayed in one of the pods for our trip to the mountain and couldn’t be more pleased with this accommodation! Perfect location, clean, great facilities and lovely atmosphere. 
Would recommend highly.",5,,,,,,,OR
Great base for hiking.,"Very comfortable, clean and tidy. Bathrooms were to the highest standard for a campsite and we genuinely looked forward to jumping in the shower after a long day hiking.
Would definitely look at staying here again.",5,,,,,,,OR
Lovely Stay,"I stayed for two nights in Bryn Dinas Pods and was very pleased with the Covid safe facilities.
 Everything was clean and tidy and the pod itself was warm and cosy, we thoroughly enjoyed our stay. 
Location was excellent, in a very quiet spot about 2 and a half miles from Beddgelert. Would definitely recommend.",5,,5.0,,,4.0,4.0,OR
Fantastic experience,"Comfortable beds, fantastic location, clean and well worth a visit.
Visited lakeside camping site,Llyn Gwynant.
Lovely café a few hundred yards from pods serving wonderful tea and coffee, and snacks/ meals; staff very friendly and helpful.",5,,,,,,,OR
Red Dragon PODs are perfect for s short break,"I wasn't aware but the pods are situated right at the entrance of Walker Path up Snowdon which I believe is the best path to take although it is the 2nd hardest, views are stunning.
 PODs are ideal with clean toilets and shower facilities and kitchen has microwave and fridge and laundrette. Had a nice BBQ outside and the views are stunning",5,,,,4.0,,4.0,OR
Perfect pod for a solo trip,"I stayed for two nights at Bryn Dinas Camping Pods and was really impressed with the location and the facilities.
 Bathrooms were lovely and there was plenty of space to cook outside.
 The pods were within walking distance of two beautiful lakes and the start of the Watkins Path up to Snowdon. 
Also only a 5k walk to Beddgelert along a lovely footpath. Will definitely stay again on my next visit to North Wales. I would recommend insect repellent though!!",5,,,,,,,OR
Fantastic spot,"We spent a lovely 3 nights at Bryn Dinas Camping Pods.
 It was easy to get to and in a fab location with beautiful walks from the doorstep, including the Watkin Path up to Snowdon. 
Gorgeous lake right opposite the site for a picturesque dip and lakeside walk. Little town short drive away for essential shopping/pubs. We stayed in the Dragon’s Den Lodge and would absolutely recommend it. 
It was clean and had everything we needed for our stay. The self check-in was very straight forward and all information and instructions were sent in advance of our stay. The staff we did come across were very friendly and helpful. 
We spoke to Claire, who gave us some great tips about the local area for walks and spots to visit. Would highly recommend. Thank you!",5,,,,,,,OR
Perfect little pods,"My friends and I stayed here to climb Snowdon. 
It was perfectly situated near the Watkins path and an amazing cafe. 
The bathrooms were close & more importantly clean with lovely water pressure in the shower.
 You must take midge repellant though!!! It is also within close distance to a picture postcard village. Great value.",5,,,,,,,OR
Pod camping,"
We are regular visitors to these pods and would just like to let everyone know just how excellent this site is. We went this time as a family of four the youngest 3 years he loved running around playing in the woods . It's location offers a great starting point to many fantastic walks without driving , especially the watkin path up Snowdon and if your not into walking all the way there are some stunning waterfalls a stone's throw from the road .The site offers a very warm welcome to everyone ,the pods are exceptionally clean and warm . There are restricted facilities on site at present due to covid rules but nothing that causes any issues as the owner has worked hard to make life as stress free as possible for you all. Nothing is too much trouble for the owner she will sort out any issues or give you advice on local attractions anything you need she is always on hand to help . We can't wait for our next visit which will probably be in the autumn due to work commitments. You will not be disappointed.",5,,,,,,,OR
Perfect location.,"Lovely little camp pod does everything you will need for a base, tea & coffee facilities, able to charge phone/tablet & WiFi if needed for £2.50 per day, nice & warm overnight, has picnic area & bbq area, shower facilities good, great position for walking the watkin path on Mt Snowdon literally 3mins up the road, would definitely stay again.",5,,,,,,,OR
